x,y,t,v,angle,traj
282.114,470.096,11,27.8697,75,4
284.702,469.013,11.1,28.2482,75,4
287.29,467.832,11.2,28.6554,75,4
289.879,466.553,11.3,29.0899,75,4
292.467,465.176,11.4,29.5506,75,4
295.055,463.701,11.5,30.0363,75,4
297.643,462.128,11.6,30.5458,75,4
300.231,460.457,11.7,31.0779,75,4
302.82,458.687,11.8,31.6315,75,4
305.408,456.82,11.9,32.2055,75,4
307.996,454.854,12,32.7987,75,4
310.584,452.791,12.1,33.4103,75,4
313.172,450.629,12.2,34.0391,75,4
315.761,448.369,12.3,34.6843,75,4
318.349,446.011,12.4,35.3449,75,4
320.937,443.555,12.5,36.0202,75,4
323.525,441.001,12.6,36.7092,75,4
326.113,438.348,12.7,37.4113,75,4
328.702,435.598,12.8,38.1257,75,4
331.29,432.749,12.9,38.8517,75,4
333.878,429.803,13,39.5887,75,4
336.466,426.758,13.1,40.3361,75,4
339.054,423.615,13.2,41.0934,75,4
341.643,420.375,13.3,41.8599,75,4
344.231,417.036,13.4,42.6352,75,4
346.819,413.598,13.5,43.4189,75,4
349.407,410.063,13.6,44.2104,75,4
351.995,406.43,13.7,45.0094,75,4
354.584,402.699,13.8,45.8154,75,4
357.172,398.869,13.9,46.6282,75,4
359.76,394.941,14,47.4473,75,4
362.348,390.916,14.1,48.2725,75,4
364.936,386.792,14.2,49.1034,75,4
367.525,382.57,14.3,49.9397,75,4
370.113,378.25,14.4,50.7812,75,4
372.701,373.832,14.5,51.6277,75,4
375.289,369.316,14.6,52.4788,75,4
377.877,364.701,14.7,53.3344,75,4
380.466,359.989,14.8,54.1942,75,4
383.054,355.179,14.9,55.0581,75,4
385.642,350.27,15,55.9259,75,4
388.23,345.263,15.1,56.7973,75,4
390.818,340.159,15.2,57.6723,75,4
393.407,334.956,15.3,58.5506,75,4
395.995,329.655,15.4,59.4321,75,4
398.583,324.256,15.5,60.3167,75,4
401.171,318.758,15.6,61.2043,75,4
