x,y,t,v,angle,id
926.31,84.5622,13.2,91.3285,45,NO_DRAG
933.382,78.7331,13.3,91.9525,45,NO_DRAG
940.453,72.8059,13.4,92.5827,45,NO_DRAG
947.524,66.7807,13.5,93.2189,45,NO_DRAG
954.595,60.6573,13.6,93.8611,45,NO_DRAG
961.666,54.4358,13.7,94.5091,45,NO_DRAG
968.737,48.1162,13.8,95.1628,45,NO_DRAG
975.808,41.6985,13.9,95.8221,45,NO_DRAG
982.879,35.1827,14,96.4869,45,NO_DRAG
989.95,28.5688,14.1,97.157,45,NO_DRAG
997.021,21.8569,14.2,97.8323,45,NO_DRAG
1004.09,15.0468,14.3,98.5129,45,NO_DRAG
1011.16,8.13858,14.4,99.1984,45,NO_DRAG
1018.23,1.13229,14.5,99.8889,45,NO_DRAG
1019.38,0,14.6,0,45,NO_DRAG
