x,y,t,v,angle,traj
102.508,64.0543,3.8,27.7174,52,8
105.278,63.9216,3.9,27.7643,52,8
108.049,63.6908,4,27.8458,52,8
110.819,63.3619,4.1,27.9614,52,8
113.59,62.9348,4.2,28.1108,52,8
116.36,62.4097,4.3,28.2935,52,8
119.131,61.7865,4.4,28.5087,52,8
121.901,61.0652,4.5,28.7559,52,8
124.672,60.2458,4.6,29.0341,52,8
127.442,59.3283,4.7,29.3424,52,8
130.213,58.3127,4.8,29.68,52,8
132.983,57.199,4.9,30.0459,52,8
135.753,55.9872,5,30.439,52,8
138.524,54.6773,5.1,30.8582,52,8
141.294,53.2693,5.2,31.3027,52,8
144.065,51.7632,5.3,31.7711,52,8
146.835,50.159,5.4,32.2627,52,8
149.606,48.4567,5.5,32.7762,52,8
152.376,46.6563,5.6,33.3107,52,8
155.147,44.7578,5.7,33.8652,52,8
157.917,42.7612,5.8,34.4387,52,8
160.688,40.6665,5.9,35.0303,52,8
163.458,38.4737,6,35.6391,52,8
166.229,36.1828,6.1,36.2642,52,8
168.999,33.7938,6.2,36.9048,52,8
171.77,31.3067,6.3,37.5601,52,8
174.54,28.7215,6.4,38.2294,52,8
177.311,26.0382,6.5,38.9118,52,8
180.081,23.2568,6.6,39.6068,52,8
182.852,20.3773,6.7,40.3137,52,8
185.622,17.3996,6.8,41.0319,52,8
188.393,14.3239,6.9,41.7608,52,8
191.163,11.1501,7,42.4998,52,8
193.934,7.87824,7.1,43.2485,52,8
196.704,4.50823,7.2,44.0062,52,8
199.475,1.04013,7.3,44.7727,52,8
200.305,0,7.4,45.5474,52,8
0,0,0,45,53,9
0,0,0.1,45,53,9
2.70817,3.54481,0.2,44.2205,53,9
5.41634,6.99152,0.3,43.4491,53,9
8.12451,10.3401,0.4,42.6864,53,9
10.8327,13.5906,0.5,41.9327,53,9
13.5409,16.743,0.6,41.1886,53,9
16.249,19.7973,0.7,40.4546,53,9
18.9572,22.7536,0.8,39.7313,53,9
21.6654,25.6117,0.9,39.0192,53,9
24.3735,28.3717,1,38.319,53,9
27.0817,31.0336,1.1,37.6314,53,9
29.7899,33.5974,1.2,36.957,53,9
32.498,36.0631,1.3,36.2966,53,9
35.2062,38.4307,1.4,35.6509,53,9
37.9144,40.7002,1.5,35.0209,53,9
40.6226,42.8716,1.6,34.4073,53,9
43.3307,44.9449,1.7,33.811,53,9
46.0389,46.9201,1.8,33.2329,53,9
48.7471,48.7972,1.9,32.6741,53,9
51.4552,50.5762,2,32.1356,53,9
54.1634,52.2572,2.1,31.6183,53,9
56.8716,53.84,2.2,31.1233,53,9
59.5797,55.3247,2.3,30.6518,53,9
62.2879,56.7113,2.4,30.2047,53,9
64.9961,57.9998,2.5,29.7833,53,9
67.7043,59.1902,2.6,29.3886,53,9
70.4124,60.2825,2.7,29.0217,53,9
73.1206,61.2767,2.8,28.6836,53,9
75.8288,62.1728,2.9,28.3755,53,9
78.5369,62.9708,3,28.0983,53,9
81.2451,63.6707,3.1,27.8528,53,9
83.9533,64.2725,3.2,27.6401,53,9
86.6615,64.7762,3.3,27.4607,53,9
89.3696,65.1819,3.4,27.3154,53,9
92.0778,65.4894,3.5,27.2048,53,9
94.786,65.6988,3.6,27.1291,53,9
97.4941,65.8101,3.7,27.0889,53,9
100.202,65.8233,3.8,27.0841,53,9
102.91,65.7384,3.9,27.1148,53,9
105.619,65.5554,4,27.1809,53,9
108.327,65.2743,4.1,27.2822,53,9
111.035,64.8951,4.2,27.4182,53,9
113.743,64.4178,4.3,27.5884,53,9
116.451,63.8424,4.4,27.7923,53,9
119.159,63.1689,4.5,28.029,53,9
121.868,62.3973,4.6,28.2978,53,9
124.576,61.5277,4.7,28.5977,53,9
127.284,60.5599,4.8,28.9278,53,9
129.992,59.494,4.9,29.287,53,9
132.7,58.33,5,29.6743,53,9
135.409,57.0679,5.1,30.0887,53,9
138.117,55.7077,5.2,30.5289,53,9
140.825,54.2494,5.3,30.994,53,9
143.533,52.693,5.4,31.4827,53,9
146.241,51.0385,5.5,31.9941,53,9
148.949,49.2859,5.6,32.5271,53,9
151.658,47.4352,5.7,33.0805,53,9
154.366,45.4864,5.8,33.6535,53,9
157.074,43.4395,5.9,34.2449,53,9
159.782,41.2946,6,34.854,53,9
162.49,39.0515,6.1,35.4797,53,9
165.198,36.7103,6.2,36.1212,53,9
167.907,34.271,6.3,36.7778,53,9
170.615,31.7336,6.4,37.4485,53,9
173.323,29.0981,6.5,38.1326,53,9
176.031,26.3645,6.6,38.8295,53,9
178.739,23.5328,6.7,39.5384,53,9
181.447,20.603,6.8,40.2588,53,9
